key,fr_FR,es_ES,it_IT,pt_PT,en_GB
cgf.quote.title,Devis Grand Format,PRESUPUESTO,Preventivi,ORÇAMENTO,Wide format quote
cgf.quote.models,Modèles,Modelos,Modellos,Modelos,Models
cgf.quote.bungee_cords,Tendeurs,Tensores,Tensionatori,Tensores,Bungee cords
cgf.quote.eyelets,Œillets,Ojales,Occhielli,Anilhos,Eyelets
cgf.quote.perforations,Perforations,Perforaciones,Perforazione,Perfurações,Perforations
cgf.quote.units,Ex.,Ej.,Pz.,Und.,pc
cgf.area,Surface,Superficie,Superficie,Superfície,Area
cgf.models.title,Intitulé du modèle,Nombre del modelo,Titolo del modello,Título do modelo,Title
cgf.models.quantity,Nombre d'ex.,Número de copias,Numero di copie,Número de cópias,Number of units
cgf.models.size,Dimensions,Dimensión,Dimensioni,Dimensões,Size
cgf.models.options,Options,Opciones,opzioni,Opções,Options
cgf.area.unit,m²,m²,m²,m²,m²
cgf.description,Description,Descripción,descrizione,Descrição,Description
cgf.price,Montant H.T.,Total Sin IVA,Totale IVA esclusa,Total Sem IVA,Net Price
cgf.mentions,"Prix incluant les livraisons en France métropolitaine.<br>Nos devis sont établis en jours ouvrés et hors transport.<br>Nos prix s'entendent pour la fourniture des fichiers numériques strictement conformes à notre cahier des charges.En cas de fourniture de fichiers non conformes, un délai supplémentaire pourra être appliqué.<br>L'option Bon à tirer (BàT) n'est pas compatible avec les produits issus du calculateur sur mesure. Les prix mentionnés ci-dessus ne sont valables que pendant les 3 mois suivants leur publication soit jusqu'au %s","El precio incluye el envío en toda la Península.<br>Nuestros plazos de envío están establecidos en dias laborales y sin contar el transporte.<br>Nuestros precios se ajustan a los ficheros enviados correctamente bajo nuestras especificaciones.<br> En caso de que el fichero no sea correcto, el envío se puede retrasar.<br>Todas nuestras tarjetas impresas en Offset son protegidas por un barniz acrílico satinado.<br>presupuesto válido por 3 meses hasta %s, no incluídas las promociones en curso en la fecha de su demanda de presupuesto.","Il prezzo include un luogo di consegna sul territorio italiano (piccolo sovrapprezzo solo per le Isole minori, Venezia e Livigno). I nostri tempi di produzione si calcolano contando i giorni feriali ed escludendo i tempi di trasporto. I nostri prezzi si intendono per la fornitura di esecutivi pronti per la stampa strettamente conformi alla nostra Guida Tecnica della Pre-stampa. In caso di fornitura di esecutivi non conformi, ci potrà essere un allungamento dei tempi di produzione. Tutti nostri lavori stampati in offset sono protetti da una applicazione di vernice acrilica satinata. I preventivi sono validi per tre mesi fino al %s, escluse le promozioni in corso al momento della vostra richiesta di preventivo, escluse le promozioni in corso al momento della vostra richiesta di preventivo.","O preço inclui a entrega em Portugal continental. <br>Nossos prazos de envio estão estabelecidos em dias úteis e sem contar o transporte. <br>Nossos preços se ajustam aos ficheiros enviados correctamente de acordo com as nossas especificações.<br>Em caso de que o ficheiro não seja correcto, a entrega pode atrasar.<br>Todos os nossos cartões impressos em Offset são protegidos por um verniz acrílico acetinado.<br>Os orçamentos são válidos por 3 meses até %, não incluídas as promoções em curso na data da realização do orçamento.",%s
