,FR,ES,IT,PT,UK
valeur_142,"350g couché demi-mat","350 gr. estucado semi-mate","350g patinata semi-opaca","350g couché semi mate","350gsm Silk Coated"
valeur_143,"350g Cyclus Print","350g Cyclus Print","350g Cyclus Print","350g Cyclus Print","350gsm Cyclus Print"
valeur_145,"250g adhésif 170g + support 80g","250g Adhesivo 170g + Soporte 80g","250g Adesiva 170g + Support 80g","250g Autocolante","250gsm - Adhesive 170gsm + Support 80gsm"
valeur_146,"280g adhésif 80g + support 200g","280g Adhesivo","280g Adesiva 80g + Supporto 200g","280g Autocolante","280gsm -  Adhesive 80gsm + Support 200gsm"
valeur_147,"500µ PVC blanc","PVC blanco","500µ PVC Bianco","500µ PVC branco","500µ White PVC"
valeur_148,"550µ PVC transparent","PVC transparente","550µ PVC trasparente","PVC transparente","550µ Transparent PVC "
valeur_150,"320g Conqueror CX22 Diamant recyclé","Conqueror CX 22 Diamante Reciclado","320g Conqueror CX 22 Diamant riciclata","320g Conqueror CX22 Diamante reciclado","320gsm Conqueror CX22 Diamond White Recycled"
valeur_151,"250g Rives Design extra blanc","Rives Design Extra Blanco","250g Rives Design Extra Bianco","250g Rives Design Extra Branco","250gsm Rives Tradition Bright White"
valeur_152,"300g Rives vergé blanc glacier","300g Rives Verge Blanco Glacier","300g Rives Laid Brilliant White","300g Rives Vergé Branco Glaciar","300gsm Rives Laid Glacier White"
valeur_153,"250g Chromolux or","Cromolux Oro","250g Chromolux Oro","250g Cromolux Ouro","250gsm Chromolux Gold"
valeur_154,"250g Chromolux argent","Cromolux Plata","250g Chromolux Argento","250g Cromolux Prata","250gsm Chromolux Silver"
valeur_155,"250g Chromolux chrome","Cromolux Cromo","250g Chromolux Chrome","250g Cromolux Cromo","250gsm Chromolux Chrome"
valeur_156,J+1,"2 días","2 Giorni",Express,D+1
valeur_157,Exarush,Exaya,Exarush,ExaJá,Exarush
valeur_158,J+2,"3 días","3 Giorni","3 dias",D+2
valeur_159,J+3,"4 días ","4 Giorni","4 dias",D+3
valeur_160,J+4,"5 días ","5 Giorni","5 dias",D+4
valeur_161,J+5,"6 días ","6 Giorni","6 dias",D+5
valeur_162,J+6,"7 días ","7 Giorni","7 dias",D+6
valeur_163,J+7,"8 días ","8 Giorni","8 dias",D+7
valeur_164,J+8,"9 días ","9 Giorni","9 dias",D+8
valeur_165,Sans,Sin,Senza,Sem,No
valeur_173,Classique,Clásico,Classico,Clássico,Classic
valeur_174,Sans,Sin,Senza,Sem,No
valeur_175,QRcode,QRcode,QRcode,QRcode,QRcode
valeur_176,Sans,Sin,Senza,Sem,No
valeur_177,Avec,Con,Con,Com,Included
valeur_178,1,1,1,1,1
valeur_179,2,2,2,2,2
valeur_180,Quadri,Cuatricromía,Quadricromia,Quadri.,"4 colour"
valeur_181,Quadri,Cuatricromía,Quadricromia,Quadri.,"4 colour"
valeur_182,Sans,Sin,Senza,Sem,No
valeur_183,Avec,Con,Con,Com,Included
valeur_184,Sans,Sin,Senza,Sem,No
valeur_185,Mat,Mate,Opaca,Mate,Matt
valeur_186,Brillant,Brillante,Lucida,Brilhante,Gloss
valeur_187,Sans,Sin,Senza,Sem,No
valeur_188,Mat,Mate,Opaca,Mate,Matt
valeur_189,Brillant,Brillante,Lucida,Brilhante,Gloss
valeur_190,Sans,Sin,Senza,Sem,No
valeur_192,Offset,Offset,Offset,Offset,Offset
valeur_193,Numérique,Digital,Digitale,Digital,Digital
valeur_194,Sans,Sin,Senza,Sem,No
valeur_195,"Acrylique satiné","Acrílico satinado","Acrilico satinato","Acrílico acetinado","Clear varnish"
valeur_196,Sans,Sin,Senza,Sem,No
valeur_197,"Acrylique satiné","Acrílico satinado","Acrilico satinato","Acrílico acetinado","Clear varnish"
valeur_198,Sans,Sin,Senza,Sem,No
valeur_199,Avec,Con,Con,Com,Included
valeur_200,Sans,Sin,Senza,Sem,No
valeur_201,Avec,Con,Con,Com,Included
valeur_202,"1 rainage central (2 volets)","uno central (2 palas)","1 cordonatura centrale (2 ante)","um central (2 laudas)","1 central creasing (2 panels)"
valeur_203,"1 rainage décalé (2 volets)","uno descentrado (2 palas)","1 piega decentrata","um vinco descentrado (2 laudas)","1 off-centered crease (2 panels)"
valeur_204,"2 rainages roulés (3 volets)","dos en cartera (3 palas)","2 cordonature avvolta (3 ante)","dois envolventes (3 laudas)","2 roll fold creases (3 panels)"
valeur_205,"2 rainages accordéon (3 volets)","dos en acordeón (3 palas)","2 cordonature fisarmonica (3 ante)","dois em acordeão (3 laudas)","2 concertina creases (3 panels)"
